,0
P6780S1,4581516
P7028S1,4581470
P6915S1,4581362
P6880S1,4580927
P6830S1,4580572
P6630S6A1,4580249
P6810S1,4579799
P3063S1,4578874
P3064S1,4578422
P6640S1,4576890
P3054S1,4576852
P3062S2,4576102
P3062S8,4576102
P3064,4576102
P3062S7,4576102
P3062S6,4576102
P3062S5,4576102
P3062S4,4576102
P3062S3,4576102
P3063,4576102
P3062S9,4576102
P6630S4A1,4576100
P3068,4575412
P1880S1,4574025
P3067S2,4572478
P7070,4572323
P3067S1,4571239
P7045,4571210
P7077,4571210
P7050,4571210
P7075,4571210
P6765S1,4570273
P3366,4569464
P1800S1,4564191
P1801S1,4564191
P3061,4564189
P3062S1,4564189
P1801S3,4560789
P3058S4,4560663
P3058S5,4560663
P3058S1,4560329
P3058S2,4560329
P3067,4558830
P6775,4558830
P7120,4558826
P7110,4558826
P7100,4558826
P550,4557835
P6830,4554069
P3051,4551979
P3051S1,4551979
P6630S3A1,4547179
P3057,4546611
P6630S2A1,4546158
P3056,4541167
P6810,4513605
P7140S2,4512611
P7150,4512611
P7140S9,4512611
P7160,4512611
P7140S5,4512611
P7140S4,4512611
P7140S7,4512611
P7140S6,4512611
P7140S3,4512611
P7140S1,4512611
P7140S8,4512611
P3055S1,4498977
P1801S2,4482733
P6630S1A1,4474603
P3052S1,4446707
P3066,4443988
P3065,4443988
P3054,4443973
P3055,4443973
P6940,4431354
P6930,4431354
P6960,4431354
P3053,4430869
P3365,4430869
P6750,4426829
P1879,4421272
P1805,4421272
P3073,4421272
P6780,4421272
P3049,4420306
P3048,4420306
P1802,4417114
P6630S3,4393839
P6640,4393028
P6630S4,4392883
P6630S1,4392140
P6630S2,4392140
P6510S2,4371258
P760,4325480
P7028,4325480
P7026,4325480
P1880,4325480
P1882,4278415
INGLABO,4242994
P6600,4231298
P7040,4227874
P6790,4227874
P7020,4227874
OCI,4227874
P6990,4227874
P7090,4227874
P7130,4227874
P7170S6,4227874
P7180,4227874
P7170S1,4227874
P7170S5,4227874
P515,4227874
P6850,4227874
P6800,4227874
P9450,4227874
P6880,4227874
P3069,4227874
P6915,4227874
P6920,4227874
RAMA4D_R4,4227874
P514,4227874
P7240,4227874
P1881,4227874
OFICIO_C8,4227874
RAMA2D_R4,4227874
P6610S1,4198980
P6545,4188304
P6545S1,4161427
P6590,4160136
P6585S4,4140116
P6580S1,3958707
P3365S1,3922130
P3059,3918299
P6430S1,3913739
P6760,3906471
P3058S3,3906471
P3052,3804604
P6580,3776929
P1800,3763604
P3047,3763604
P6765,3763469
P6545S2,3763076
P6585S3A1,3742230
P6585S4A1,3738118
P6630S6,3736312
P6580S2,3693036
P6585S2A1,3652659
P6600S1,3626767
P6585S3,3550235
P6422,3528272
P3364S1,3527867
P6590S1,3506451
P6510,3488928
P6585S1,3448030
P3045S1,3316789
P6620,3237953
P9440,3164615
P6460,3146288
P6424S1,3142788
P6585S4A2,3119705
P6585S1A1,3070680
P6585S1A2,3054218
P6430,3027616
P6424S5,3014166
P6585S2A2,2999149
P6620S1,2996766
P6510S1,2988623
P6460S1,2981637
P6585S2,2902336
P6426,2884719
P3364,2851814
P6610,2786828
P3045S3,2771770
P6500,2713309
P3046,2625068
P6585S3A2,2440821
P6410,2417938
P6420S2,2409746
P3363,2377023
P6424S3,2202714
P3045S2,1979880
P6424S2,1563207
P3044S2,1476085
P6400,1416774
AREA,1172688
P6440,1117015
P6450,993680
FT,304131
REGIS,81396
FEX_C18,0
CLASE,0
PER,0
PERIODO,0
DPTO,0
MES,0
DIRECTORIO,0
SECUENCIA_P,0
ORDEN,0
HOGAR,0
